,Customer ID,frequency,recency,T,monetary_value,p_not_alive,p_alive,predicted_purchases,actual30,error,expected_avg_sales_,predicted_clv,Labels
146,12492.0,2.0,340.0,403.0,131.60500000000002,0.025494297563063317,0.9745057024369367,0.17668735387815715,0.1764705882352941,-0.00021676564286304822,219.32563237269216,788.4280906042992,Medium
147,12493.0,2.0,32.0,197.0,92.14500000000001,0.40755389163173283,0.5924461083682672,0.1916904951834675,1.875,1.6833095048165325,153.79956501293177,584.7700335150208,Low
148,12494.0,14.0,567.0,576.0,99.90357142857144,0.002364696874507577,0.9976353031254924,0.6914604628549288,0.7407407407407407,0.04928027788581191,105.99470564251381,1559.6181087182536,Low
151,12497.0,3.0,601.0,682.0,2082.8333333333335,0.021606255036224487,0.9783937449637755,0.15044508375211393,0.1497504159733777,-0.0006946677787362243,2834.9798793389073,8904.824679676862,Low
152,12498.0,1.0,36.0,57.0,156.45,0.0238853831174759,0.9761146168825241,0.4387684848972746,0.8333333333333333,0.39456484843605866,770.0214890240294,6655.099715859165,Low
154,12500.0,20.0,650.0,673.0,273.544,0.006792954191023437,0.9932070458089766,0.8398987362718298,0.9230769230769231,0.08317818680509337,284.92561010505614,5109.522416402382,Low
156,12502.0,4.0,214.0,309.0,776.655,0.08411424066749817,0.9158857593325018,0.3542799088668924,0.5607476635514018,0.2064677546845094,969.7794155889881,6695.410270854617,Low
158,12504.0,4.0,578.0,596.0,69.15,0.004443454571735894,0.9955565454282641,0.21808250865862405,0.20761245674740486,-0.010470051911219191,86.61422132557516,401.21289199921466,Low
161,12507.0,3.0,450.0,584.0,419.3533333333333,0.053569077372333185,0.9464309226276668,0.16747473826045473,0.2,0.032525261739545286,571.1321085276747,1908.5402021221719,Low
162,12508.0,1.0,3.0,29.0,123.08,0.04065437596588917,0.9593456240341108,0.5600001394688142,10.0,9.439999860531186,606.7681020967312,6708.3058079391485,Low
164,12510.0,9.0,593.0,735.0,364.60555555555555,0.08417463125956925,0.9158253687404307,0.33727240769037464,0.4553119730185497,0.11803956532817506,400.07735799154625,2591.59069435251,Low
168,12514.0,1.0,374.0,641.0,1017.68,0.10474799029186244,0.8952520097081376,0.06968117940163471,0.08021390374331551,0.010532724341680802,4983.348262275364,6551.428578953923,Low
170,12516.0,3.0,522.0,599.0,653.0533333333334,0.02335024485413628,0.9766497551458637,0.16892318971156095,0.1724137931034483,0.003490603391887337,889.1769446775445,3110.846672026423,Low
171,12517.0,3.0,162.0,190.0,565.98,0.019137131388360373,0.9808628686116396,0.4410940517845668,0.5555555555555556,0.11446150377098879,770.6779115880151,6807.804606818979,Low
172,12518.0,4.0,110.0,110.0,433.015,0.0,1.0,0.8257838218599257,1.0909090909090908,0.2651252690491651,540.8200621474164,8891.801084788742,Low
173,12519.0,2.0,413.0,476.0,154.74499999999998,0.02158468611768638,0.9784153138823136,0.15349343740123336,0.14527845036319614,-0.00821498703803722,257.75120760596263,812.887535077854,Low
174,12520.0,5.0,194.0,273.0,319.018,0.08202425353533804,0.917975746464662,0.4740981407975684,0.7731958762886597,0.2990977354910913,379.61059895365327,3516.069932593349,Low
176,12522.0,1.0,12.0,51.0,103.32,0.05915307666051439,0.9408469233394856,0.44481910260617147,2.5,2.0551808973938286,510.097831623749,4497.250229731528,Low
177,12523.0,29.0,736.0,737.0,146.5448275862069,0.00019467317641841397,0.9998053268235816,1.1142023081077894,1.1820652173913044,0.06786290928351502,150.71216601520058,3643.6057550601377,Low
178,12524.0,16.0,660.0,669.0,658.27875,0.0020839026467344146,0.9979160973532656,0.6855767992157927,0.7272727272727273,0.04169592805693456,692.7864874052248,10207.625488968766,Low
179,12525.0,6.0,244.0,735.0,146.8216666666667,0.9398913715787595,0.06010862842124049,0.01538371925063137,0.7377049180327868,0.7223211987821554,169.4481783697607,28.79085451637359,Low
180,12526.0,2.0,94.0,94.0,398.17999999999995,0.0,1.0,0.5328616949387431,0.6382978723404256,0.10543617740168243,661.9919123125837,6994.532011672543,Low
181,12527.0,4.0,448.0,529.0,108.42750000000001,0.03107924575838672,0.9689207542416133,0.23615315941638826,0.26785714285714285,0.03170398344075459,135.64358637272142,654.4542198158894,Low
182,12528.0,7.0,303.0,312.0,204.10714285714286,0.0037682356708572673,0.9962317643291427,0.6195237427949617,0.693069306930693,0.07354556413573132,230.4325515876047,2934.4743774632025,Low
184,12530.0,10.0,583.0,642.0,333.286,0.02162070636337643,0.9783792936366236,0.4490918748073278,0.5145797598627787,0.06548788505545089,362.1968742916661,3390.7096374845837,Low
185,12531.0,2.0,672.0,686.0,45.535,0.002940320577409228,0.9970596794225908,0.11273031771882099,0.08928571428571427,-0.02344460343310671,76.4004266541271,184.7346460293024,Low
187,12533.0,4.0,120.0,738.0,55.01750000000002,0.975380130532092,0.024619869467907975,0.00444052258958268,1.0,0.9955594774104173,68.97288718952288,4.089435838682546,Low
189,12535.0,1.0,95.0,186.0,344.9,0.08366889279975431,0.9163311072002457,0.2002868780251766,0.3157894736842105,0.1155025956590339,1691.960379238274,6664.304428546853,Low
192,12538.0,1.0,349.0,378.0,363.95,0.010360506178300088,0.9896394938216999,0.12267376336215208,0.08595988538681948,-0.0367138779753326,1785.1571733936541,4499.553314283797,Low
193,12539.0,5.0,694.0,716.0,869.9680000000001,0.004737270756685286,0.9952627292433147,0.22273403213397816,0.21613832853025935,-0.0065957036037188055,1034.8160873994707,4950.700698985647,Low
194,12540.0,32.0,713.0,732.0,677.9590625,0.005612375450992357,0.9943876245490076,1.227237502042857,1.3464235624123422,0.1191860603694852,695.2747963025872,18347.99320497782,Low
195,12541.0,2.0,251.0,280.0,334.39,0.013800998765046812,0.9861990012349532,0.24243469103211382,0.23904382470119523,-0.0033908663309185905,556.064192168663,2734.3911934994403,Low
196,12542.0,3.0,156.0,640.0,19.53,0.7747015394626589,0.2252984605373411,0.03670472624201773,0.576923076923077,0.5402183506810593,27.00824657262698,13.321851699500296,Low
199,12545.0,1.0,184.0,259.0,372.24,0.04481265877537188,0.9551873412246281,0.16180676140838263,0.16304347826086957,0.001236716852486941,1825.7136785667828,5870.06688110693,Low
200,12546.0,2.0,31.0,77.0,190.65,0.07385836676744706,0.9261416332325529,0.5525790152636242,1.935483870967742,1.3829048557041177,317.37395085361084,3481.104298267877,Low
201,12547.0,2.0,303.0,500.0,103.9,0.11185409426016146,0.8881459057398385,0.13342203892702692,0.19801980198019803,0.06459776305317111,173.31955796310874,437.2230188102294,Low
203,12549.0,4.0,122.0,697.0,254.315,0.9666190636090788,0.03338093639092125,0.006344241848288327,0.9836065573770493,0.977262315528761,317.7522107331198,27.09088035607751,Low
206,12552.0,1.0,1.0,39.0,120.0,0.06481814168105637,0.9351818583189436,0.4932604654450496,30.0,29.50673953455495,591.7000639865701,5798.729115985431,Medium
207,12553.0,15.0,415.0,423.0,267.38866666666667,0.0027653870231784117,0.9972346129768216,0.9686980603150126,1.0843373493975903,0.1156392890825777,282.4318804099119,5716.613975169686,Low
210,12556.0,1.0,101.0,151.0,290.81,0.04133106420030508,0.9586689357996949,0.24344231645894288,0.297029702970297,0.05358738651135414,1427.3401904789825,6881.264829975192,Low
211,12557.0,7.0,706.0,722.0,2394.785714285714,0.003400502008407691,0.9965994979915923,0.2972046502609982,0.29745042492917845,0.0002457746681802653,2702.0228332662173,17299.998312713782,Low
213,12559.0,1.0,9.0,319.0,50.10000000000001,0.5742004663690413,0.4257995336309587,0.06087662669222326,3.333333333333333,3.2724567066411097,249.7338744085615,304.39775643765205,Low
214,12560.0,3.0,138.0,143.0,269.6933333333333,0.0032514379932879756,0.996748562006712,0.5493657363930924,0.6521739130434783,0.10280817665038589,367.4582096051695,4037.8273376227858,Low
216,12562.0,8.0,427.0,435.0,567.615,0.002544009444666373,0.9974559905553336,0.5276315875984393,0.5620608899297423,0.034429302331303036,630.4290786209496,6959.765031638738,Low
221,12567.0,14.0,644.0,666.0,919.3957142857143,0.005857226723124165,0.9941427732768758,0.6043107314160896,0.6521739130434783,0.04786318162738867,974.8630099007844,12585.995771297983,Low
223,12569.0,26.0,250.0,252.0,142.935,0.0009553249595077862,0.9990446750404922,2.5299786234966604,3.1199999999999997,0.5900213765033393,147.48441681146977,7621.664096962093,Low
225,12571.0,1.0,82.0,121.0,271.26,0.03489008712336106,0.9651099128766389,0.28455841356157596,0.36585365853658536,0.0812952449750094,1331.6972862407843,7499.134658254778,Low
226,12572.0,2.0,43.0,51.0,235.99,0.00848672946826945,0.9915132705317306,0.7242916219093615,1.3953488372093024,0.6710572152999409,392.66416611188595,5598.371374316462,Low
227,12573.0,4.0,238.0,465.0,141.34750000000003,0.3016592575406495,0.6983407424593505,0.19072638918154552,0.5042016806722689,0.3134752914907234,176.73700365620573,562.5229256636576,Medium
229,12575.0,1.0,69.0,526.0,281.02,0.5333214463958389,0.46667855360416105,0.0433810314070785,0.43478260869565216,0.39140157728857367,1379.4453550573987,1006.8473929020809,Low
230,12576.0,10.0,491.0,526.0,170.91199999999998,0.012804041114643061,0.9871959588853569,0.5419473184863673,0.6109979633401222,0.0690506448537549,185.78788390853225,2103.042624031965,Medium
231,12577.0,4.0,701.0,736.0,345.2,0.007595541073635692,0.9924044589263643,0.17943980020638614,0.17118402282453637,-0.008255777381849766,431.2022480906371,1656.9360307889162,Medium
232,12578.0,6.0,422.0,443.0,593.4316666666667,0.0071660190690655545,0.9928339809309344,0.39990494795437637,0.42654028436018954,0.02663533640581317,684.3311277565697,5701.34956920936,Low
